collection_date,name,nitrate,,
9/19/1989,R20-89-50,,,
9/20/1989,R20-89-50,0.02,,
11/14/1989,R20-89-50,0.02,,
3/22/1990,R20-89-50,0.02,,
4/17/1990,R20-89-50,0.02,,
5/22/1990,R20-89-50,0.02,,
6/25/1990,R20-89-50,0.02,,
7/25/1990,R20-89-50,0.02,,
5/16/1991,R20-89-50,0.02,,
8/14/1991,R20-89-50,0.02,,
1/9/1992,R20-89-50,0.02,,
5/13/1992,R20-89-50,0.02,,
7/22/1992,R20-89-50,0.02,,
8/19/1992,R20-89-50,0.04,,
5/26/1993,R20-89-50,0.02,,
6/23/1993,R20-89-50,0.02,,
7/21/1993,R20-89-50,0.09,,
9/1/1993,R20-89-50,1.34,,
5/25/1994,R20-89-50,2.59,,
6/29/1994,R20-89-50,0.06,,
8/10/1994,R20-89-50,3.48,,
9/6/1994,R20-89-50,2.8,,
12/7/1994,R20-89-50,3.3,,
4/24/1995,R20-89-50,0.09,,
5/22/1995,R20-89-50,0.35,,
7/17/1995,R20-89-50,0.52,,
8/29/1995,R20-89-50,1.32,,
4/23/1996,R20-89-50,0.2,,
5/20/1996,R20-89-50,0.1,,
7/15/1996,R20-89-50,0.3,,
8/27/1996,R20-89-50,1.0,,
4/21/1997,R20-89-50,1.0,,
5/19/1997,R20-89-50,0.9,,
7/15/1997,R20-89-50,0.9,,
8/25/1997,R20-89-50,1.0,,
4/20/1998,R20-89-50,0.5,,
5/18/1998,R20-89-50,0.3,,
7/14/1998,R20-89-50,0.05,,
8/24/1998,R20-89-50,0.1,,
4/20/1999,R20-89-50,0.1,,
5/18/1999,R20-89-50,0.05,,
7/12/1999,R20-89-50,0.2,,
8/24/1999,R20-89-50,0.05,,
4/17/2000,R20-89-50,0.05,,
5/17/2000,R20-89-50,0.05,,
7/10/2000,R20-89-50,0.05,,
8/22/2000,R20-89-50,4.9,,
4/16/2001,R20-89-50,0.1,,
5/15/2001,R20-89-50,0.3,,
7/9/2001,R20-89-50,0.2,,
8/20/2001,R20-89-50,0.1,,
7/10/2002,R20-89-50,0.05,,
6/18/2003,R20-89-50,0.05,,
7/14/2004,R20-89-50,0.05,,
7/13/2005,R20-89-50,0.05,,
7/11/2006,R20-89-50,0.05,,
7/11/2007,R20-89-50,0.05,,
7/7/2009,R20-89-50,0.1,,
6/29/2010,R20-89-50,0.1,,
7/12/2011,R20-89-50,0.1,,
7/17/2013,R20-89-50,0.1,,
7/16/2015,R20-89-50,0.1,,
7/11/2017,R20-89-50,0.1,,
5/19/2020,R20-89-50,0.1,,
9/19/1989,R20-89-49,0.08,,
9/20/1989,R20-89-49,,,
11/14/1989,R20-89-49,0.21,,
3/22/1990,R20-89-49,0.39,,
4/17/1990,R20-89-49,0.02,,
5/22/1990,R20-89-49,0.02,,
6/25/1990,R20-89-49,0.02,,
7/25/1990,R20-89-49,0.02,,
5/16/1991,R20-89-49,0.02,,
8/14/1991,R20-89-49,0.94,,
1/9/1992,R20-89-49,0.02,,
5/13/1992,R20-89-49,0.02,,
7/22/1992,R20-89-49,0.02,,
8/19/1992,R20-89-49,0.02,,
5/26/1993,R20-89-49,0.02,,
6/23/1993,R20-89-49,0.02,,
7/21/1993,R20-89-49,0.02,,
9/1/1993,R20-89-49,0.04,,
5/25/1994,R20-89-49,0.02,,
6/29/1994,R20-89-49,0.02,,
8/10/1994,R20-89-49,0.02,,
9/6/1994,R20-89-49,0.02,,
12/7/1994,R20-89-49,0.02,,
4/24/1995,R20-89-49,0.04,,
5/22/1995,R20-89-49,0.02,,
7/17/1995,R20-89-49,0.02,,
8/29/1995,R20-89-49,0.02,,
4/23/1996,R20-89-49,0.1,,
5/20/1996,R20-89-49,0.1,,
7/15/1996,R20-89-49,0.2,,
8/27/1996,R20-89-49,0.1,,
4/21/1997,R20-89-49,0.05,,
5/19/1997,R20-89-49,0.05,,
7/15/1997,R20-89-49,0.1,,
8/25/1997,R20-89-49,0.1,,
4/20/1998,R20-89-49,0.05,,
5/18/1998,R20-89-49,0.1,,
7/14/1998,R20-89-49,0.05,,
8/24/1998,R20-89-49,0.05,,
4/20/1999,R20-89-49,0.1,,
5/18/1999,R20-89-49,0.05,,
7/12/1999,R20-89-49,0.1,,
8/24/1999,R20-89-49,0.05,,
4/17/2000,R20-89-49,0.05,,
5/17/2000,R20-89-49,0.05,,
7/10/2000,R20-89-49,0.05,,
8/22/2000,R20-89-49,0.05,,
4/16/2001,R20-89-49,0.5,,
5/15/2001,R20-89-49,0.1,,
7/9/2001,R20-89-49,0.05,,
8/20/2001,R20-89-49,0.05,,
7/10/2002,R20-89-49,0.05,,
6/18/2003,R20-89-49,0.05,,
7/14/2004,R20-89-49,0.05,,
7/13/2005,R20-89-49,0.05,,
7/11/2006,R20-89-49,0.05,,
7/11/2007,R20-89-49,0.05,,
7/7/2009,R20-89-49,0.1,,
6/29/2010,R20-89-49,0.1,,
7/12/2011,R20-89-49,0.1,,
7/17/2013,R20-89-49,0.1,,
7/16/2015,R20-89-49,0.1,,
7/11/2017,R20-89-49,0.1,,
5/19/2020,R20-89-49,0.1,,
